time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-12 00:00:00+00:00,261,42,1466,376
2023-01-13 00:00:00+00:00,127,32,1062,304
2023-01-14 00:00:00+00:00,101,34,816,254
2023-01-15 00:00:00+00:00,181,64,949,256
2023-01-16 00:00:00+00:00,193,57,930,298
2023-01-17 00:00:00+00:00,186,64,1151,308
2023-01-18 00:00:00+00:00,271,64,1112,288
2023-01-19 00:00:00+00:00,148,38,1050,313
2023-01-20 00:00:00+00:00,259,55,1348,403
2023-01-21 00:00:00+00:00,458,95,2745,1278
2023-01-22 00:00:00+00:00,318,63,1441,510
2023-01-23 00:00:00+00:00,1171,90,1549,412
2023-01-24 00:00:00+00:00,446,79,1427,386
2023-01-25 00:00:00+00:00,328,46,1185,290
